what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1482019195482
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1482019219853
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1482019264016
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1482019288049
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1482019456402
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1482019460690
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1482019663154
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1482019663931
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1482019665727
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1482019668899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482019896755
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1482019903218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482019903249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482019908759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482019911116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482019914022
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1482019917936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482019917978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482019920891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482019955953
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1482019956040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482020069625
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482020155726
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482024562422
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1482024568749
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1483425514319
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1483425514331
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1483425514333
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1483425514350
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1483425514355
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1483425514376
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1483425514376
